sp.name,abbrev,site,collected
acegla,ag,sm,64
alninc,ai,sm,64
alnvir,av,sm,64
amealn,aa,sm,64
betpap,bp,sm,64
corsto,cs,sm,64
loninv,li,sm,64
menfer,mf,sm,64
popbal,pb,sm,64
poptre,pt,sm,64
riblac,rl,sm,64
rubpar,rp,sm,64
shecan,sc,sm,64
samrac,sr,sm,64
sorsco,ss,sm,64
spibet,sb,sm,64
spipyr,sp,sm,64
symalb,sa,sm,64
vacmem,vm,sm,64
vibedu,ve,sm,64
acegla,ag,mp,64
alninc,ai,mp,64
alnvir,av,mp,64
amealn,aa,mp,64
corsto,cs,mp,64
loninv,li,mp,64
menfer,mf,mp,64
popbal,pb,mp,64
poptre,pt,mp,64
rhoalb,ra,mp,64
riblac,rl,mp,64
rubpar,rp,mp,64
shecan,sc,mp,64
samrac,sr,mp,64
sorsco,ss,mp,64
spibet,sb,mp,64
spipyr,sp,mp,64
symalb,sa,mp,64
vacmem,vm,mp,64
vibedu,ve,mp,64