"year","month","tempMin","tempMax","tempMean","site"
"1975",1,"-9.4","2.2","-3.6","hope"
"1975",2,"0.0","2.8","1.4","hope"
"1975",3,"0.0","5.6","2.8","hope"
"1975",4,"-1.7","0.0","-0.9","hope"
"1975",5,"-7.8","-1.7","-4.8","hope"
"1975",6,"-8.3","-1.7","-5.0","hope"
"1975",7,"-6.7","2.2","-2.3","hope"
"1975",8,"-7.2","3.3","-2.0","hope"
"1975",9,"0.6","5.0","2.8","hope"
"1975",10,"-2.2","0.6","-0.8","hope"
"1975",11,"-6.1","-2.2","-4.2","hope"
"1975",12,"-10.6","-5.6","-8.1","hope"
"1976",1,"-13.3","2.8","-5.3","hope"
"1976",2,"-12.8","1.7","-5.6","hope"
"1976",3,"-14.4","0.6","-6.9","hope"
"1976",4,"-15.0","-0.6","-7.8","hope"
"1976",5,"-14.4","0.0","-7.2","hope"
"1976",6,"-15.0","2.8","-6.1","hope"
"1976",7,"-1.1","4.4","1.7","hope"
"1976",8,"1.1","5.0","3.1","hope"
"1976",9,"0.0","1.7","0.9","hope"
"1976",10,"-0.6","3.3","1.4","hope"
"1976",11,"0.6","5.0","2.8","hope"
"1976",12,"-0.6","4.4","1.9","hope"
"1977",1,"-1.0","2.2","0.6","hope"
"1977",2,"-0.4","4.0","1.8","hope"
"1977",3,"0.8","4.3","2.6","hope"
"1977",4,"-2.5","0.0","-1.3","hope"
"1977",5,"-9.8","-3.2","-6.5","hope"
"1977",6,"-6.4","2.5","-2.0","hope"
"1977",7,"-4.6","-2.4","-3.5","hope"
"1977",8,"-16.0","-14.5","-15.3","hope"
"1977",9,"-17.5","-0.5","-9.0","hope"
"1977",10,"-17.5","3.1","-7.2","hope"
"1977",11,"-1.4","2.5","0.6","hope"
"1977",12,"-0.5","2.5","1.0","hope"
"1978",1,"-2.4","1.5","-0.5","hope"
"1978",2,"-6.0","-1.0","-3.5","hope"
"1978",3,"-5.0","3.0","-1.0","hope"
"1978",4,"-5.0","-0.4","-2.7","hope"
"1978",5,"-9.0","-3.6","-6.3","hope"
"1978",6,"-11.9","-3.7","-7.8","hope"
"1978",7,"-14.5","-5.0","-9.8","hope"
"1978",8,"-11.0","-1.5","-6.3","hope"
"1978",9,"-7.2","0.4","-3.4","hope"
"1978",10,"-5.0","4.5","-0.3","hope"
"1978",11,"-4.0","2.0","-1.0","hope"
"1978",12,"-5.0","-1.0","-3.0","hope"
"1979",1,"-1.6","0.5","-0.6","hope"
"1979",2,"-2.5","1.0","-0.8","hope"
"1979",3,"-2.2","7.1","2.5","hope"
"1979",4,"0.4","2.5","1.5","hope"
"1979",5,"0.8","4.1","2.5","hope"
"1979",6,"0.8","4.4","2.6","hope"
"1979",7,"1.0","4.1","2.6","hope"
"1979",8,"1.0","5.0","3.0","hope"
"1979",9,"2.0","5.1","3.6","hope"
"1979",10,"-2.9","0.2","-1.4","hope"
"1979",11,"-5.0","4.0","-0.5","hope"
"1979",12,"-3.1","0.0","-1.6","hope"
"1980",1,"-4.5","-3.5","-4.0","hope"
"1980",2,"-9.4","-8.5","-9.0","hope"
"1980",3,"-15.0","-11.0","-13.0","hope"
"1980",4,"-15.3","-12.0","-13.7","hope"
"1980",5,"-16.2","-13.0","-14.6","hope"
"1980",6,"-18.4","-11.0","-14.7","hope"
"1980",7,"-23.5","-5.9","-14.7","hope"
"1980",8,"-17.0","-2.3","-9.7","hope"
"1980",9,"-7.0","0.5","-3.3","hope"
"1980",10,"-4.4","4.2","-0.1","hope"
"1980",11,"0.0","4.4","2.2","hope"
"1980",12,"0.4","3.7","2.1","hope"
"1981",1,"-2.0","3.0","0.5","hope"
"1981",2,"0.2","2.4","1.3","hope"
"1981",3,"-3.0","0.4","-1.3","hope"
"1981",4,"-2.6","6.2","1.8","hope"
"1981",5,"-0.9","3.0","1.1","hope"
"1981",6,"0.0","2.3","1.2","hope"
"1981",7,"-0.8","1.6","0.4","hope"
"1981",8,"-3.3","0.5","-1.4","hope"
"1981",9,"-3.0","3.2","0.1","hope"
"1981",10,"0.0","2.0","1.0","hope"
"1981",11,"-1.7","0.0","-0.9","hope"
"1981",12,"-8.1","-3.0","-5.6","hope"
"1982",1,"-0.6","2.5","1.0","hope"
"1982",2,"-0.5","4.0","1.8","hope"
"1982",3,"-0.7","4.2","1.8","hope"
"1982",4,"-0.6","1.7","0.6","hope"
"1982",5,"-3.2","2.1","-0.6","hope"
"1982",6,"-4.2","0.5","-1.9","hope"
"1982",7,"-8.2","0.0","-4.1","hope"
"1982",8,"-7.9","0.6","-3.7","hope"
"1982",9,"-8.0","0.4","-3.8","hope"
"1982",10,"-9.5","-0.7","-5.1","hope"
"1982",11,"-9.5","2.1","-3.7","hope"
"1982",12,"-4.7","1.3","-1.7","hope"
"1983",1,"-10.2","0.7","-4.8","hope"
"1983",2,"-10.0","-1.9","-6.0","hope"
"1983",3,"-5.0","0.9","-2.1","hope"
"1983",4,"-9.1","-1.4","-5.3","hope"
"1983",5,"-9.9","1.4","-4.3","hope"
"1983",6,"-10.0","-1.0","-5.5","hope"
"1983",7,"-12.6","-3.6","-8.1","hope"
"1983",8,"-12.5","0.9","-5.8","hope"
"1983",9,"-4.0","1.5","-1.3","hope"
"1983",10,"-4.4","1.6","-1.4","hope"
"1983",11,"-4.3","2.4","-1.0","hope"
"1983",12,"-4.2","1.4","-1.4","hope"
"1984",1,"-1.9","0.7","-0.6","hope"
"1984",2,"-11.0","-1.4","-6.2","hope"
"1984",3,"-12.7","-2.0","-7.4","hope"
"1984",4,"-17.0","-5.0","-11.0","hope"
"1984",5,"-17.2","-2.3","-9.8","hope"
"1984",6,"-15.8","1.0","-7.4","hope"
"1984",7,"-7.2","2.6","-2.3","hope"
"1984",8,"0.0","2.0","1.0","hope"
"1984",9,"-4.0","-0.3","-2.2","hope"
"1984",10,"-3.6","1.3","-1.2","hope"
"1984",11,"-2.7","-0.7","-1.7","hope"
"1984",12,"-2.5","0.5","-1.0","hope"
"1985",1,"-23.9","-10.5","-17.2","hope"
"1985",2,"-19.1","-5.0","-12.1","hope"
"1985",3,"-11.9","2.7","-4.6","hope"
"1985",4,"-5.2","3.8","-0.7","hope"
"1985",5,"1.4","4.7","3.1","hope"
"1985",6,"0.8","3.0","1.9","hope"
"1985",7,"-0.5","3.4","1.5","hope"
"1985",8,"-4.6","-0.6","-2.6","hope"
"1985",9,"-8.3","-3.1","-5.7","hope"
"1985",10,"-11.6","-1.6","-6.6","hope"
"1985",11,"-11.5","-1.3","-6.4","hope"
"1985",12,"-10.5","1.2","-4.7","hope"
"1986",1,"-0.5","4.5","2.0","hope"
"1986",2,"-6.5","1.5","-2.5","hope"
"1986",3,"-9.0","0.0","-4.5","hope"
"1986",4,"-9.5","-1.0","-5.3","hope"
"1986",5,"-8.0","0.0","-4.0","hope"
"1986",6,"-9.5","1.0","-4.3","hope"
"1986",7,"-8.0","1.0","-3.5","hope"
"1986",8,"-7.0","-0.5","-3.8","hope"
"1986",9,"-8.0","0.0","-4.0","hope"
"1986",10,"-9.5","2.0","-3.8","hope"
"1986",11,"-10.0","1.0","-4.5","hope"
"1986",12,"-4.5","2.0","-1.3","hope"
"1987",1,"0.5","3.5","2.0","hope"
"1987",2,"0.0","4.5","2.3","hope"
"1987",3,"1.0","3.0","2.0","hope"
"1987",4,"1.0","2.0","1.5","hope"
"1987",5,"-1.5","5.5","2.0","hope"
"1987",6,"-1.5","5.5","2.0","hope"
"1987",7,"0.5","4.0","2.3","hope"
"1987",8,"0.5","6.0","3.3","hope"
"1987",9,"-1.0","2.0","0.5","hope"
"1987",10,"-0.5","1.0","0.3","hope"
"1987",11,"-0.5","0.5","0.0","hope"
"1987",12,"-5.0","0.2","-2.4","hope"
"1988",1,"-2.0","4.5","1.3","hope"
"1988",2,"-1.5","2.5","0.5","hope"
"1988",3,"-0.5","6.0","2.8","hope"
"1988",4,"0.0","3.0","1.5","hope"
"1988",5,"-2.0","3.5","0.8","hope"
"1988",6,"0.0","3.0","1.5","hope"
"1988",7,"0.5","3.0","1.8","hope"
"1988",8,"-0.5","4.0","1.8","hope"
"1988",9,"1.5","5.5","3.5","hope"
"1988",10,"2.0","5.0","3.5","hope"
"1988",11,"2.5","7.5","5.0","hope"
"1988",12,"2.0","7.0","4.5","hope"
"1989",1,"-3.0","4.5","0.8","hope"
"1989",2,"0.0","7.0","3.5","hope"
"1989",3,"3.0","8.5","5.8","hope"
"1989",4,"4.5","7.0","5.8","hope"
"1989",5,"3.0","8.5","5.8","hope"
"1989",6,"2.0","5.5","3.8","hope"
"1989",7,"1.0","5.0","3.0","hope"
"1989",8,"2.5","5.5","4.0","hope"
"1989",9,"0.0","1.0","0.5","hope"
"1989",10,"-2.0","3.0","0.5","hope"
"1989",11,"-5.0","2.0","-1.5","hope"
"1989",12,"-5.5","1.0","-2.3","hope"
"1990",1,"-3.5","-0.5","-2.0","hope"
"1990",2,"-5.0","1.0","-2.0","hope"
"1990",3,"-4.0","3.5","-0.3","hope"
"1990",4,"1.0","3.0","2.0","hope"
"1990",5,"0.0","1.5","0.8","hope"
"1990",6,"0.0","3.0","1.5","hope"
"1990",7,"-2.0","4.5","1.3","hope"
"1990",8,"-1.5","3.0","0.8","hope"
"1990",9,"0.0","0.5","0.3","hope"
"1990",10,"-0.5","1.5","0.5","hope"
"1990",11,"-0.5","0.5","0.0","hope"
"1990",12,"-5.0","-0.5","-2.8","hope"
"1991",1,"-4.0","4.0","0.0","hope"
"1991",2,"-1.0","2.0","0.5","hope"
"1991",3,"1.0","4.0","2.5","hope"
"1991",4,"1.0","6.0","3.5","hope"
"1991",5,"0.0","4.0","2.0","hope"
"1991",6,"1.0","4.0","2.5","hope"
"1991",7,"0.0","3.0","1.5","hope"
"1991",8,"0.0","3.0","1.5","hope"
"1991",9,"0.0","2.0","1.0","hope"
"1991",10,"-0.5","1.0","0.3","hope"
"1991",11,"-1.0","2.0","0.5","hope"
"1991",12,"-0.5","2.5","1.0","hope"
"1992",1,"-5.0","-1.0","-3.0","hope"
"1992",2,"-7.0","1.0","-3.0","hope"
"1992",3,"-7.5","0.0","-3.8","hope"
"1992",4,"-8.5","1.5","-3.5","hope"
"1992",5,"-11.0","-1.5","-6.3","hope"
"1992",6,"-11.0","0.5","-5.3","hope"
"1992",7,"-5.5","1.0","-2.3","hope"
"1992",8,"-2.0","1.0","-0.5","hope"
"1992",9,"-2.0","2.0","0.0","hope"
"1992",10,"-4.0","-2.0","-3.0","hope"
"1992",11,"-5.5","-3.0","-4.3","hope"
"1992",12,"-12.0","-1.5","-6.8","hope"
"1993",1,"0.0","3.0","1.5","hope"
"1993",2,"1.0","3.5","2.3","hope"
"1993",3,"1.0","5.5","3.3","hope"
"1993",4,"0.5","1.0","0.8","hope"
"1993",5,"-2.5","0.0","-1.3","hope"
"1993",6,"-10.0","0.5","-4.8","hope"
"1993",7,"-4.5","2.5","-1.0","hope"
"1993",8,"-2.0","2.0","0.0","hope"
"1993",9,"-1.0","4.5","1.8","hope"
"1993",10,"0.0","3.0","1.5","hope"
"1993",11,"0.0","3.0","1.5","hope"
"1993",12,"-1.0","4.5","1.8","hope"
"1994",1,"-0.5","0.5","0.0","hope"
"1994",2,"-4.0","-1.0","-2.5","hope"
"1994",3,"-13.0","-7.5","-10.3","hope"
"1994",4,"-17.0","-7.0","-12.0","hope"
"1994",5,"-16.0","-5.0","-10.5","hope"
"1994",6,"-13.5","-0.5","-7.0","hope"
"1994",7,"-9.0","-1.0","-5.0","hope"
"1994",8,"-4.0","0.0","-2.0","hope"
"1994",9,"-2.5","1.0","-0.8","hope"
"1994",10,"-3.0","1.0","-1.0","hope"
"1994",11,"-5.0","0.5","-2.3","hope"
"1994",12,"-5.5","0.0","-2.8","hope"
"1995",1,"2.0","3.0","2.5","hope"
"1995",2,"-0.5","0.5","0.0","hope"
"1995",3,"-1.5","2.0","0.3","hope"
"1995",4,"-4.0","-0.5","-2.3","hope"
"1995",5,"-8.0","-3.0","-5.5","hope"
"1995",6,"-9.0","-1.5","-5.3","hope"
"1995",7,"-10.0","-6.0","-8.0","hope"
"1995",8,"-17.5","-11.5","-14.5","hope"
"1995",9,"-19.5","-4.0","-11.8","hope"
"1995",10,"-13.5","2.5","-5.5","hope"
"1995",11,"-4.5","4.5","0.0","hope"
"1995",12,"0.5","4.5","2.5","hope"
"1996",1,"0.0","1.5","0.8","hope"
"1996",2,"-3.5","0.0","-1.8","hope"
"1996",3,"-3.0","-0.5","-1.8","hope"
"1996",4,"-7.0","1.0","-3.0","hope"
"1996",5,"-7.0","1.0","-3.0","hope"
"1996",6,"-3.0","1.0","-1.0","hope"
"1996",7,"-4.0","1.0","-1.5","hope"
"1996",8,"-2.0","1.0","-0.5","hope"
"1996",9,"-5.5","2.0","-1.8","hope"
"1996",10,"-5.5","1.0","-2.3","hope"
"1996",11,"-1.5","1.5","0.0","hope"
"1996",12,"-4.0","1.0","-1.5","hope"
"1997",1,"0.5","4.0","2.3","hope"
"1997",2,"-4.5","1.5","-1.5","hope"
"1997",3,"-6.0","2.0","-2.0","hope"
"1997",4,"-5.5","0.5","-2.5","hope"
"1997",5,"-8.0","1.5","-3.3","hope"
"1997",6,"-7.5","0.0","-3.8","hope"
"1997",7,"-8.0","2.0","-3.0","hope"
"1997",8,"-6.0","2.0","-2.0","hope"
"1997",9,"-1.5","1.5","0.0","hope"
"1997",10,"-2.0","3.0","0.5","hope"
"1997",11,"-3.0","2.0","-0.5","hope"
"1997",12,"-3.0","2.0","-0.5","hope"
"1998",1,"-2.0","2.5","0.3","hope"
"1998",2,"-1.0","1.5","0.3","hope"
"1998",3,"-3.0","1.0","-1.0","hope"
"1998",4,"-3.0","1.0","-1.0","hope"
"1998",5,"-3.0","1.0","-1.0","hope"
"1998",6,"-3.0","0.0","-1.5","hope"
"1998",7,"-3.0","1.0","-1.0","hope"
"1998",8,"-1.5","0.5","-0.5","hope"
"1998",9,"-1.5","2.0","0.3","hope"
"1998",10,"-1.0","2.0","0.5","hope"
"1998",11,"-1.0","2.0","0.5","hope"
"1998",12,"-1.0","5.5","2.3","hope"
"1999",1,"0.0","2.0","1.0","hope"
"1999",2,"0.0","2.0","1.0","hope"
"1999",3,"-2.0","1.0","-0.5","hope"
"1999",4,"-3.0","2.5","-0.3","hope"
"1999",5,"-1.0","2.0","0.5","hope"
"1999",6,"0.0","2.5","1.3","hope"
"1999",7,"-1.5","1.0","-0.3","hope"
"1999",8,"-4.5","1.0","-1.8","hope"
"1999",9,"-1.0","3.5","1.3","hope"
"1999",10,"0.0","1.0","0.5","hope"
"1999",11,"0.0","2.5","1.3","hope"
"1999",12,"0.0","2.5","1.3","hope"
"2000",1,"-0.5","3.0","1.3","hope"
"2000",2,"0.0","4.0","2.0","hope"
"2000",3,"-2.0","2.5","0.3","hope"
"2000",4,"-4.0","1.5","-1.3","hope"
"2000",5,"-5.0","3.0","-1.0","hope"
"2000",6,"-4.0","5.5","0.8","hope"
"2000",7,"-5.0","2.0","-1.5","hope"
"2000",8,"-7.5","0.0","-3.8","hope"
"2000",9,"-8.0","-2.0","-5.0","hope"
"2000",10,"-8.0","-6.5","-7.3","hope"
"2000",11,"-16.0","-8.0","-12.0","hope"
"2000",12,"-17.0","-7.0","-12.0","hope"
"2001",1,"-3.0","1.5","-0.8","hope"
"2001",2,"-0.5","1.0","0.3","hope"
"2001",3,"-4.0","-1.5","-2.8","hope"
"2001",4,"-3.5","0.0","-1.8","hope"
"2001",5,"-6.0","-1.0","-3.5","hope"
"2001",6,"-5.5","1.0","-2.3","hope"
"2001",7,"-2.0","2.0","0.0","hope"
"2001",8,"-0.5","2.0","0.8","hope"
"2001",9,"-2.5","-0.5","-1.5","hope"
"2001",10,"-3.0","0.0","-1.5","hope"
"2001",11,"-4.0","1.0","-1.5","hope"
"2001",12,"-6.0","1.0","-2.5","hope"
"2002",1,"-3.0","7.0","2.0","hope"
"2002",2,"-3.0","6.0","1.5","hope"
"2002",3,"-4.0","6.0","1.0","hope"
"2002",4,"-4.0","6.5","1.3","hope"
"2002",5,"-4.0","6.0","1.0","hope"
"2002",6,"-5.5","3.0","-1.3","hope"
"2002",7,"-7.5","3.5","-2.0","hope"
"2002",8,"-7.5","3.0","-2.3","hope"
"2002",9,"-7.0","3.0","-2.0","hope"
"2002",10,"-5.5","3.5","-1.0","hope"
"2002",11,"-1.0","3.0","1.0","hope"
"2002",12,"0.0","5.5","2.8","hope"
"2003",1,"-7.5","1.0","-3.3","hope"
"2003",2,"-1.5","4.0","1.3","hope"
"2003",3,"-1.5","1.5","0.0","hope"
"2003",4,"-5.0","5.5","0.3","hope"
"2003",5,"-0.5","2.5","1.0","hope"
"2003",6,"-1.0","3.0","1.0","hope"
"2003",7,"-4.0","0.0","-2.0","hope"
"2003",8,"-2.0","1.0","-0.5","hope"
"2003",9,"-8.0","-2.0","-5.0","hope"
"2003",10,"-5.0","-1.0","-3.0","hope"
"2003",11,"-6.0","1.5","-2.3","hope"
"2003",12,"-3.5","2.0","-0.8","hope"
"2004",1,"-4.5","3.5","-0.5","hope"
"2004",2,"-2.0","2.0","0.0","hope"
"2004",3,"-1.0","2.5","0.8","hope"
"2004",4,"0.0","2.5","1.3","hope"
"2004",5,"-3.5","-1.0","-2.3","hope"
"2004",6,"-5.0","-1.5","-3.3","hope"
"2004",7,"-5.5","1.0","-2.3","hope"
"2004",8,"-4.0","2.0","-1.0","hope"
"2004",9,"-1.0","2.5","0.8","hope"
"2004",10,"-1.0","5.0","2.0","hope"
"2004",11,"-0.5","4.0","1.8","hope"
"2004",12,"-5.0","1.5","-1.8","hope"
"2005",1,"-13.0","-4.5","-8.8","hope"
"2005",2,"-11.0","-4.5","-7.8","hope"
"2005",3,"-7.5","-4.5","-6.0","hope"
"2005",4,"-8.5","-2.0","-5.3","hope"
"2005",5,"-7.5","1.0","-3.3","hope"
"2005",6,"-5.0","-1.0","-3.0","hope"
"2005",7,"-9.5","-2.5","-6.0","hope"
"2005",8,"-11.5","-2.5","-7.0","hope"
"2005",9,"-11.0","1.0","-5.0","hope"
"2005",10,"-3.5","2.5","-0.5","hope"
"2005",11,"-2.0","4.0","1.0","hope"
"2005",12,"-7.0","0.5","-3.3","hope"
"2006",1,"-6.0","0.0","-3.0","hope"
"2006",2,"-9.5","0.0","-4.8","hope"
"2006",3,"-10.0","1.0","-4.5","hope"
"2006",4,"-1.0","1.0","0.0","hope"
"2006",5,"0.0","4.0","2.0","hope"
"2006",6,"0.0","5.0","2.5","hope"
"2006",7,"-2.0","4.0","1.0","hope"
"2006",8,"-1.5","4.0","1.3","hope"
"2006",9,"-2.0","2.5","0.3","hope"
"2006",10,"-1.5","4.5","1.5","hope"
"2006",11,"0.0","4.5","2.3","hope"
"2006",12,"-0.5","3.5","1.5","hope"
"2007",1,"-9.5","-4.5","-7.0","hope"
"2007",2,"-10.5","3.0","-3.8","hope"
"2007",3,"-5.0","4.5","-0.3","hope"
"2007",4,"2.5","4.5","3.5","hope"
"2007",5,"0.5","3.0","1.8","hope"
"2007",6,"-3.0","0.0","-1.5","hope"
"2007",7,"-8.0","-3.0","-5.5","hope"
"2007",8,"-11.0","-4.0","-7.5","hope"
"2007",9,"-11.5","-2.5","-7.0","hope"
"2007",10,"-10.0","-1.5","-5.8","hope"
"2007",11,"-10.5","1.0","-4.8","hope"
"2007",12,"-3.0","0.0","-1.5","hope"
"2009",1,"-3.0","1.5","-0.8","hope"
"2009",2,"-7.0","-0.5","-3.8","hope"
"2009",3,"-7.0","0.5","-3.3","hope"
"2009",4,"-6.0","1.0","-2.5","hope"
"2009",5,"-6.0","0.5","-2.8","hope"
"2009",6,"-6.5","-3.0","-4.8","hope"
"2009",7,"-13.5","-7.5","-10.5","hope"
"2009",8,"-14.0","-5.5","-9.8","hope"
"2009",9,"-14.5","-6.5","-10.5","hope"
"2009",10,"-12.5","-3.5","-8.0","hope"
"2009",11,"-12.5","-2.5","-7.5","hope"
"2009",12,"-9.0","-2.5","-5.8","hope"
"2010",1,"0.0","3.5","1.8","hope"
"2010",2,"-3.0","1.5","-0.8","hope"
"2010",3,"-4.0","2.0","-1.0","hope"
"2010",4,"-10.5","-1.0","-5.8","hope"
"2010",5,"-13.0","-2.5","-7.8","hope"
"2010",6,"-12.5","1.0","-5.8","hope"
"2010",7,"-8.5","4.0","-2.3","hope"
"2010",8,"0.5","5.0","2.8","hope"
"2010",9,"0.0","2.5","1.3","hope"
"2010",10,"-0.5","2.5","1.0","hope"
"2010",11,"-1.0","2.0","0.5","hope"
"2010",12,"-0.5","2.5","1.0","hope"
"2011",1,"-5.0","-0.5","-2.8","hope"
"2011",2,"-5.0","3.0","-1.0","hope"
"2011",3,"-6.0","-1.0","-3.5","hope"
"2011",4,"-7.5","-0.5","-4.0","hope"
"2011",5,"-7.5","1.5","-3.0","hope"
"2011",6,"-9.0","1.0","-4.0","hope"
"2011",7,"-8.5","1.0","-3.8","hope"
"2011",8,"-8.0","-1.5","-4.8","hope"
"2011",9,"-7.5","3.5","-2.0","hope"
"2011",10,"-7.0","0.0","-3.5","hope"
"2011",11,"-7.5","0.0","-3.8","hope"
"2011",12,"-7.5","-1.0","-4.3","hope"
"2012",1,"2.5","5.5","4.0","hope"
"2012",2,"2.0","3.5","2.8","hope"
"2012",3,"-0.5","3.5","1.5","hope"
"2012",4,"0.0","4.5","2.3","hope"
"2012",5,"-0.5","2.0","0.8","hope"
"2012",6,"-1.0","0.5","-0.3","hope"
"2012",7,"-0.5","0.5","0.0","hope"
"2012",8,"-3.0","0.0","-1.5","hope"
"2012",9,"-4.0","-0.5","-2.3","hope"
"2012",10,"-3.5","1.0","-1.3","hope"
"2012",11,"-1.0","2.0","0.5","hope"
"2012",12,"-0.5","1.5","0.5","hope"
"2013",1,"1.5","4.0","2.8","hope"
"2013",2,"-2.0","-1.5","-1.8","hope"
"2013",3,"-10.0","-5.0","-7.5","hope"
"2013",4,"-12.0","-5.5","-8.8","hope"
"2013",5,"-12.0","-5.5","-8.8","hope"
"2013",6,"-16.0","-10.5","-13.3","hope"
"2013",7,"-17.5","-9.0","-13.3","hope"
"2013",8,"-18.0","-6.0","-12.0","hope"
"2013",9,"-13.0","-5.0","-9.0","hope"
"2013",10,"-9.5","-2.0","-5.8","hope"
"2013",11,"-5.5","0.0","-2.8","hope"
"2013",12,"-5.0","1.0","-2.0","hope"
"2014",1,"-16.5","-5.5","-11.0","hope"
"2014",2,"-12.0","-4.0","-8.0","hope"
"2014",3,"-11.5","-3.5","-7.5","hope"
"2014",4,"-11.5","-1.0","-6.3","hope"
"2014",5,"-7.5","3.5","-2.0","hope"
"2014",6,"-3.0","3.5","0.3","hope"
"2014",7,"0.0","5.0","2.5","hope"
"2014",8,"0.0","6.5","3.3","hope"
"2014",9,"3.0","6.5","4.8","hope"
"2014",10,"1.5","9.0","5.3","hope"
"2014",11,"2.0","6.0","4.0","hope"
"2014",12,"2.5","5.5","4.0","hope"
"2015",1,"-8.5","4.0","-2.3","hope"
"2015",2,"-1.5","3.5","1.0","hope"
"2015",3,"1.0","5.0","3.0","hope"
"2015",4,"1.0","3.5","2.3","hope"
"2015",5,"0.0","4.0","2.0","hope"
"2015",6,"1.5","7.0","4.3","hope"
"2015",7,"2.0","4.5","3.3","hope"
"2015",8,"3.0","6.0","4.5","hope"
"2015",9,"1.0","5.0","3.0","hope"
"2015",10,"0.0","5.0","2.5","hope"
"2015",11,"-1.0","3.0","1.0","hope"
"2015",12,"-2.0","2.5","0.3","hope"
"2016",1,"0.0","3.0","1.5","hope"
"2016",2,"0.0","4.5","2.3","hope"
"2016",3,"1.0","3.0","2.0","hope"
"2016",4,"-0.5","0.0","-0.3","hope"
"2016",5,"-4.5","-2.0","-3.3","hope"
"2016",6,"-8.0","-5.0","-6.5","hope"
"2016",7,"-15.5","-8.5","-12.0","hope"
"2016",8,"-16.0","-7.0","-11.5","hope"
"2016",9,"-16.5","-6.5","-11.5","hope"
"2016",10,"-10.5","-2.5","-6.5","hope"
"2016",11,"-10.0","-3.5","-6.8","hope"
"2016",12,"-8.5","-7.0","-7.8","hope"
"2017",1,"0.5","2.5","1.5","hope"
"2017",2,"-1.0","1.5","0.3","hope"
"2017",3,"-1.5","1.0","-0.3","hope"
"2017",4,"-2.5","0.0","-1.3","hope"
"2017",5,"-4.0","0.0","-2.0","hope"
"2017",6,"-4.0","0.5","-1.8","hope"
"2017",7,"-6.5","-0.5","-3.5","hope"
"2017",8,"-6.0","1.0","-2.5","hope"
"2017",9,"-4.0","2.0","-1.0","hope"
"2017",10,"-2.5","2.5","0.0","hope"
"2017",11,"-5.0","1.0","-2.0","hope"
"2017",12,"-5.5","3.0","-1.3","hope"
"2018",1,"-2.0","2.0","0.0","hope"
"2018",2,"-2.5","1.0","-0.8","hope"
"2018",3,"-2.0","-0.5","-1.3","hope"
"2018",4,"-8.0","-1.5","-4.8","hope"
"2018",5,"-9.0","-0.5","-4.8","hope"
"2018",6,"-11.0","-4.0","-7.5","hope"
"2018",7,"-12.0","-3.5","-7.8","hope"
"2018",8,"-11.5","1.0","-5.3","hope"
"2018",9,"-4.0","5.0","0.5","hope"
"2018",10,"0.5","2.5","1.5","hope"
"2018",11,"0.5","2.5","1.5","hope"
"2018",12,"0.0","2.0","1.0","hope"
